FATP-QT,V2.3.10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Durations,Version,List of Failing Tests,Read_FATP_SN,PPORION_OVP_OUT_16V_CURR,PPORION_OVP_OUT_5V2_CURR,PORION_RVP_OUT_-16V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,Query SFC Lang,Read Lang Blob,Query MLB SN,Read MLB SN,KBM SN,WO NO,Unit LBL,Build EVENT,Build MATRIX CONFIG,UNIT#,S BUILD,USBC BOARD SN,BACKLIGHT SN,TRACKPAD SN,TOUCH FLEX SN,P line SN,KBD_HW_Layout,READ_HW_VERSION,FW_VERSION_L4R5,FW_VERSION_MTFW,FW_VERSION_CCG3,MIX FW,Production signed check,GreenPAK ID,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,5W_5V_1P0A_BRICKID_System_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_System_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,5V_2P5A_CURR_USBC_PD,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_Charge_Capability,5V_2P5A_Orion_Power_Voltage,5V_2P5A_DUT_Input_Voltage,5V_2P5A_DCR,9V_2P5A_CURR_USBC_PD,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_Charge_Capability,9V_2P5A_Orion_Power_Voltage,9V_2P5A_DUT_Input_Voltage,9V_2P5A_DCR,PHASE1_CONSUMER_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,Read_PHASE5_BROWNOUT_STATUS,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Rise_Time,4V8_MCU_AID_Fall_Time,4V8_MCU_VOH,4V8_MCU_VOL,4V8_MCU_Bits_period,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Rise_Time,2V4_MCU_AID_Fall_Time,2V4_MCU_VOH,2V4_MCU_VOL,2V4_MCU_Bits_period,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar STM32L4_VID,USBC Mux_In_Tristar STM32L4_PID
Upper Limited-------->,,,,,,,,,,,,,,11.5,8,0.1,0.23,0.22,-30,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4900,9.7,0.3,3.05,20.7,294,96,20.5,0.3,3.05,3.35,3.9,0.7,3.05,9100,12,8.4,17.5,9.25,8.4,10.5,8.4,178,7.5,1040,4,5000,1,2.1,1.25,1540,4,5000,1500,1.25,2.1,1540,4,5000,1500,2.1,2.1,5,5000,500,5,5000,1500,5,5000,3000,2540,6,5000,3000,4.85,5.25,0.221,2540,6,9000,3000,8.9,9.3,0.221,5,143,4,149,2900,5,1,4.9,77,75,1.95,0.2,10.2,2.5,85,90,1.85,0.2,10.2,1452,623,1452,623
Lower Limited-------->,,,,,,,,,,,,,,10.5,2,-0.3,0.19,0.19,-40,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4750,8.1,0.14,2.55,18.2,263,82,17,0.14,2.55,2.8,2.7,0.2,2.55,8900,8,6.2,13.75,7.25,6.2,7.9,6.3,148,5.5,980,4,5000,1,1.5,0.6,1480,4,5000,1500,0.6,1.5,1480,4,5000,1500,1.5,1.5,5,5000,500,5,5000,1500,5,5000,3000,2480,6,5000,3000,4.4,4.75,0.12,2480,6,9000,3000,8.35,8.9,0.12,5,108,4,114,2760,5,1,4.7,40,40,1.8,0,9.8,2.35,35,62,1.5,0,9.8,1452,623,1452,623
Measurement Units---->,,,,,,,,,,,,,,mA,mA,mA,mA,mA,mA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,mV,A,V,V,mA,NA,mV,mA,V,V,mA,NA,mV,mA,V,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,NA,mV,mA,V,V,ohms,mA,NA,mV,mA,V,V,ohms,NA,mA,NA,mA,mV,NA,NA,V,ns,ns,V,V,us,V,ns,ns,V,V,us,NA,NA,NA,NA
FXLH,R128,FTPZW00DPPLL,R128-EVT,R128-EVT_E2ISWI,,FXLH_F05-4FT-01_4_QT1,PASS,01-02-10:33:57,01-02-10:40:03,366.33,V2.3.10.1,PASS,FTPZW00DPPLL,11.07226118,3.22969185,-0.019349266,0.207006236,0.201143084,-37.10225849,SF SWISS,02 01 02 11 4A,DLX950300HAN4735X,DLX950300HAN4735X,C4P9467000NN34F38,WCR-JC0021,R128-EVT_E2ISWI_C03503,R128-EVT,E2ISWI,C03503,R128-EVT_E2ISWI,DLX949700YBMW013V,GV29495000EP2RX50,FM7944603UUKG9X5D+52J,C47946602Z4JFK02H,DKB951400B7PQGM0J,13,4,624,1301,258," ""1.0.29""",0,3,4804.319089,9.009916127,0.220363309,2.823532154,19.74007379,278.7774095,89.01262347,18.83452444,0.24555054,2.821255309,3.140611002,3.350909125,0.486055308,2.872559629,9000.561631,10.27965291,7.426634977,15.62133005,8.257866473,7.450957284,9.339380946,7.486866874,162.942079,6.538637613,1010.219223,4,5000,1,1.786,0.868,1511.642028,4,5000,1500,0.868,1.786,1511.497856,4,5000,1500,1.786,1.786,5,5000,500,5,5000,1500,5,5000,3000,2510.556546,6,5000,3000,4.605142205,5.049324282,0.176925741,2508.717737,6,9000,3000,8.616529363,9.052399155,0.173742061,5,125.1787352,4,131.0233364,2829.982339,5,1,4.812751319,54,57,1.924256883,0.008876,10.008,2.428439412,54.9,76,1.719174809,0.006776,10.002,1452,623,1452,623
FXLH,R128,FTPZW00DPPLL,R128-EVT,R128-EVT_E2ISWI,,FXLH_F05-4FT-01_4_QT1,PASS,01-02-10:40:37,01-02-10:46:44,366.89,V2.3.10.1,PASS,FTPZW00DPPLL,11.07338976,3.230140405,-0.019073184,0.207275662,0.201234358,-37.10621918,SF SWISS,02 01 02 11 4A,DLX950300HAN4735X,DLX950300HAN4735X,C4P9467000NN34F38,WCR-JC0021,R128-EVT_E2ISWI_C03503,R128-EVT,E2ISWI,C03503,R128-EVT_E2ISWI,DLX949700YBMW013V,GV29495000EP2RX50,FM7944603UUKG9X5D+52J,C47946602Z4JFK02H,DKB951400B7PQGM0J,13,4,624,1301,258," ""1.0.29""",0,3,4804.43112,9.012770597,0.22063344,2.823454007,19.72721834,278.9701129,89.04055443,18.8498741,0.245442648,2.83815444,3.157387356,3.424863765,0.478015071,2.863612757,9000.890189,10.26043677,7.427765016,15.62264019,8.261630749,7.452540891,9.429664473,7.497776535,162.9705098,6.536823732,1011.222279,4,5000,1,1.786,0.868,1513.777971,4,5000,1500,0.868,1.786,1509.794049,4,5000,1500,1.786,1.786,5,5000,500,5,5000,1500,5,5000,3000,2509.352005,6,5000,3000,4.58837484,5.049301876,0.18368369,2508.804497,6,9000,3000,8.613169109,9.052361818,0.175060556,5,125.6176362,4,129.9927868,2830.146652,5,1,4.812796131,56,58,1.924033137,0.008781,10.005,2.428499162,55.9,77,1.719148807,0.007653,10.006,1452,623,1452,623
FXLH,R128,FTPZW00DPPLL,R128-EVT,R128-EVT_E2ISWI,,FXLH_F05-4FT-01_4_QT1,PASS,01-02-10:47:31,01-02-10:53:37,365.96,V2.3.10.1,PASS,FTPZW00DPPLL,11.07336903,3.230379366,-0.019102367,0.207174986,0.20121012,-37.10720543,SF SWISS,02 01 02 11 4A,DLX950300HAN4735X,DLX950300HAN4735X,C4P9467000NN34F38,WCR-JC0021,R128-EVT_E2ISWI_C03503,R128-EVT,E2ISWI,C03503,R128-EVT_E2ISWI,DLX949700YBMW013V,GV29495000EP2RX50,FM7944603UUKG9X5D+52J,C47946602Z4JFK02H,DKB951400B7PQGM0J,13,4,624,1301,258," ""1.0.29""",0,3,4804.259339,8.864497877,0.220658531,2.823359191,19.74251757,278.9180739,89.01912655,18.83305178,0.245494011,2.83587204,3.1484472,3.33814221,0.475732487,2.843846034,9001.099272,10.26902061,7.45586409,15.66372878,8.29121856,7.479218439,9.476057876,7.528007538,162.911693,6.547652803,1010.425316,4,5000,1,1.786,0.868,1522.48395,4,5000,1500,0.868,1.786,1511.476882,4,5000,1500,1.786,1.786,5,5000,500,5,5000,1500,5,5000,3000,2510.692153,6,5000,3000,4.614493093,5.049428845,0.173233406,2508.862188,6,9000,3000,8.621704155,9.052511163,0.171714098,5,125.4731088,4,130.1662387,2830.146652,5,1,4.812713975,54,57,1.923536447,0.008952,10.006,2.428431943,56.9,77,1.719404928,0.007138,10.004,1452,623,1452,623
FXLH,R128,FTPZX03CPPLW,R128-EVT,R128-EVT_E2J-R5,,FXLH_F05-4FT-01_3_QT1,PASS,01-02-10:27:05,01-02-10:33:19,374.44,V2.3.10.1,PASS,FTPZX03CPPLW,11.06769969,3.216251632,-0.021139836,0.205021831,0.198928606,-37.146207,J JAPANESE,02 01 03 03 4B,DLX950500SAN47352,DLX950500SAN47352,C4P949300BQJCQW3Y,WCR-JC0052,R128-EVT_E2J-R5_C04245,R128-EVT,E2J-R5,C04245,R128-EVT_E2J-R5,DLX9515005VMW013F,GV29502001KP2RY5L,FM794820169KG9X5Q+56J,C47946602ASJFK02W,DKB9525008ZPQGM0X,15,4,624,1301,258," ""1.0.29""",0,3,4802.556187,8.97540695,0.221543871,2.810854715,19.80065818,287.1663991,90.04087464,18.94244375,0.24718296,2.826868969,3.169067293,3.26371695,0.492976565,2.874772297,9000.578652,10.26236662,7.544469904,15.70699883,8.329595413,7.563721768,9.484238903,7.595323795,164.1979749,6.63698203,1009.016042,4,5000,1,1.76,0.868,1521.043895,4,5000,1500,0.868,1.786,1510.294952,4,5000,1500,1.76,1.786,5,5000,500,5,5000,1500,5,5000,3000,2508.37781,6,5000,3000,4.636741178,5.063035023,0.169948021,2506.800974,6,9000,3000,8.620507581,9.047294974,0.170251806,5,126.1358928,4,131.9454125,2814.099786,5,1,4.810543307,70,71,1.910647976,0.000612,9.99,2.425669976,56,69.37,1.671051448,0.000708,9.993,1452,623,1452,623
FXLH,R128,FTPZX03CPPLW,R128-EVT,R128-EVT_E2J-R5,,FXLH_F05-4FT-01_3_QT1,PASS,01-02-10:33:55,01-02-10:40:07,372.13,V2.3.10.1,PASS,FTPZX03CPPLW,11.07521389,3.210462328,-0.020708198,0.205200616,0.199225929,-37.16315759,J JAPANESE,02 01 03 03 4B,DLX950500SAN47352,DLX950500SAN47352,C4P949300BQJCQW3Y,WCR-JC0052,R128-EVT_E2J-R5_C04245,R128-EVT,E2J-R5,C04245,R128-EVT_E2J-R5,DLX9515005VMW013F,GV29502001KP2RY5L,FM794820169KG9X5Q+56J,C47946602ASJFK02W,DKB9525008ZPQGM0X,15,4,624,1301,258," ""1.0.29""",0,3,4802.885244,8.940043058,0.221670732,2.829165737,19.78070234,284.213807,89.81307259,18.94330245,0.246940952,2.810825325,3.168780113,3.256421314,0.498241735,2.845566584,9001.161859,10.28458503,7.545287171,15.70769442,8.336588001,7.563261175,9.508182319,7.597229631,164.1943587,6.630705314,1010.434633,4,5000,1,1.76,0.868,1518.487232,4,5000,1500,0.868,1.786,1510.386239,4,5000,1500,1.76,1.786,5,5000,500,5,5000,1500,5,5000,3000,2507.418975,6,5000,3000,4.636442035,5.063072416,0.170147225,2506.961524,6,9000,3000,8.620178593,9.04750433,0.170455642,5,126.1097871,4,131.0527213,2813.995086,5,1,4.810662964,71,70,1.908715422,0.000407,9.99,2.425669976,58,64.37,1.679256686,0.000623,9.992,1452,623,1452,623
FXLH,R128,FTPZX03CPPLW,R128-EVT,R128-EVT_E2J-R5,,FXLH_F05-4FT-01_3_QT1,PASS,01-02-10:40:34,01-02-10:46:47,372.53,V2.3.10.1,PASS,FTPZX03CPPLW,11.07526041,3.210340674,-0.020648133,0.205235566,0.19925929,-37.16646397,J JAPANESE,02 01 03 03 4B,DLX950500SAN47352,DLX950500SAN47352,C4P949300BQJCQW3Y,WCR-JC0052,R128-EVT_E2J-R5_C04245,R128-EVT,E2J-R5,C04245,R128-EVT_E2J-R5,DLX9515005VMW013F,GV29502001KP2RY5L,FM794820169KG9X5Q+56J,C47946602ASJFK02W,DKB9525008ZPQGM0X,15,4,624,1301,258," ""1.0.29""",0,3,4803.109601,8.89063608,0.223661969,2.81171711,19.79110036,284.3050705,89.80666084,18.94382149,0.24710436,2.827868233,3.160781479,3.300169274,0.487930019,2.845006705,9001.326353,10.33045041,7.546459701,15.7066104,8.340149215,7.564418411,9.495127863,7.599539474,164.2230681,6.63384248,1010.468982,4,5000,1,1.76,0.868,1521.094154,4,5000,1500,0.868,1.786,1510.461417,4,5000,1500,1.76,1.786,5,5000,500,5,5000,1500,5,5000,3000,2508.260151,6,5000,3000,4.636958056,5.063109809,0.169899343,2507.030699,6,9000,3000,8.620739368,9.047609008,0.170269012,5,125.4000903,4,132.03171,2813.950215,5,1,4.810760186,69,67,1.910375833,0.000473,9.994,2.425729805,58,67.37,1.668455823,0.000501,9.996,1452,623,1452,623
