FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,CC_Rp_SYS_Curr-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/5 22:49,2019/12/5 22:53,V1.2.2.0,,2.4266391,71,58.5,10.009,1.678877299,0.000867,4.813398177,52,54,10.004,1.897197591,0.001671,3000,6,5000,2512.239413,0.152431007,5.06475272,4.681809536,1,1.76,0.868,4,5000,1010.583343,3000,6,9000,2508.101795,0.152670319,9.034861278,8.651948575,1500,0.868,1.76,4,5000,1511.567051,1500,1.786,1.786,4,5000,1508.942741,3000,1500,500,5,5,5,5000,5000,5000,16.45252252,16.43720588,16.42409324,258,624,1301,3,33,4805.959486,8.95233038,2.682391758,18.91411904,2.737052337,0.394934339,0.136572616,2.684609039,16.56330173,219.6956243,81.19546293,0.163097504,3.188562008,3.0573087,5,4,116.9672082,123.1031718,2823.040637,5,-0.020362274,3.225822729,11.00577815,0,4,1,0.19946816,0.205398591,-36.44326383,8984.647013,10.19291593,8.108931617,15.63030203,6.395356909,7.349993298,7.294490928,131.7464399,7.354236213,9.184679878
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/5 22:59,2019/12/5 23:04,V1.2.2.0,,2.426609226,74,58.5,10.005,1.677656481,0.000489,4.813345897,54,55,10.003,1.894721583,0.002515,3000,6,5000,2507.984416,0.152406717,5.064760188,4.682526519,1,1.786,0.868,4,5000,1010.556383,3000,6,9000,2510.249807,0.152385005,9.034913545,8.652389117,1500,0.868,1.786,4,5000,1512.252425,1500,1.786,1.786,4,5000,1510.707204,3000,1500,500,5,5,5,5000,5000,5000,16.45047436,16.42313595,16.41866118,258,624,1301,3,33,4805.959486,8.944244826,2.682246204,18.91312442,2.710537153,0.409210813,0.132349109,2.682765348,16.55097569,219.7615172,81.21920773,0.159970507,3.176821272,3.058902522,5,4,116.5773145,123.2086231,2823.055574,5,-0.0204957,3.226448144,11.0057434,0,4,1,0.199278873,0.205371419,-36.4419435,8984.647013,10.18223708,8.109686075,15.63298265,6.411137446,7.365688928,7.294913037,131.8094167,7.314558047,9.168719198
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/6 0:01,2019/12/6 0:06,V1.2.2.0,,2.426646568,72,56.5,10.003,1.678737936,0.000289,4.813390708,53,57,10.008,1.895660174,0.002115,3000,6,5000,2508.142332,0.152230368,5.064633223,4.682817793,1,1.786,0.868,4,5000,1010.234889,3000,6,9000,2506.899563,0.152323567,9.034816477,8.652956594,1500,0.868,1.786,4,5000,1510.807809,1500,1.786,1.786,4,5000,1510.151843,3000,1500,500,5,5,5,5000,5000,5000,16.44030038,16.43435628,16.40465804,258,624,1301,3,33,4805.981892,8.926431377,2.68084888,18.93166321,2.717613529,0.415401732,0.136029212,2.690601034,16.56023538,219.580365,81.21478287,0.162236306,3.067414297,3.07360353,5,4,116.7734654,123.2416462,2822.689614,5,-0.020342428,3.214680139,11.00500646,0,4,1,0.199438119,0.205314266,-36.45581652,8984.587278,10.20414789,8.109263966,15.6076222,6.388176218,7.352562335,7.292402221,131.813905,7.318958646,9.108216272
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/6 0:06,2019/12/6 0:11,V1.2.2.0,,2.42669138,71,56.5,10.006,1.678638476,0.000258,4.813465394,53,56,10.006,1.896403379,0.001988,3000,6,5000,2508.159036,0.152178733,5.06470044,4.683011975,1,1.76,0.868,4,5000,1010.524347,3000,6,9000,2507.023111,0.152238623,9.034980747,8.653315001,1500,0.868,1.786,4,5000,1514.156207,1500,1.786,1.786,4,5000,1510.6434,3000,1500,500,5,5,5,5000,5000,5000,16.42923589,16.42137721,16.40332228,258,624,1301,3,33,4806.041641,8.898261723,2.701110071,18.91891264,2.717810028,0.409475237,0.137014131,2.688359494,16.57063526,219.7187159,81.24627602,0.163529316,3.072766838,3.062963493,5,4,117.2630353,123.2071586,2822.794174,5,-0.020434208,3.223879234,11.00529451,0,4,1,0.199392995,0.205367633,-36.45169581,8984.871017,10.20543604,8.111253212,15.62394372,6.396635363,7.368871721,7.296208472,131.8183035,7.311346143,9.175591817
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/6 0:11,2019/12/6 0:16,V1.2.2.0,,2.426713785,70,59.5,10.005,1.678827742,0.000733,4.813472862,55,55,10.004,1.895978639,0.002698,3000,6,5000,2512.444258,0.151794327,5.064760188,4.683385404,1,1.76,0.868,4,5000,1010.511702,3000,6,9000,2508.021589,0.152127403,9.034980747,8.653441936,1500,0.868,1.786,4,5000,1510.853825,1500,1.786,1.786,4,5000,1510.643934,3000,1500,500,5,5,5,5000,5000,5000,16.44907182,16.43246396,16.4048584,258,624,1301,3,33,4806.123795,8.919114835,2.705981296,18.92251026,2.719600349,0.391989286,0.141455971,2.686763246,16.57347357,219.6966117,81.23974062,0.163449261,3.201712519,3.063278862,5,4,116.5386274,122.4900036,2822.824048,5,-0.020374303,3.225087473,11.00473803,0,4,1,0.19946065,0.205489082,-36.44630183,8984.878484,9.499627555,8.107531868,15.63151983,6.401904437,7.370589264,7.294520039,131.8112945,7.31192351,9.110891689
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 18:48,2019/12/5 18:53,V1.2.2.0,,2.427727897,73,56.5,10.002,1.681986095,0.001165,4.817886122,57,58,10.003,1.908694434,0.003003,3000,6,5000,2507.954996,0.150622753,5.082713987,4.704958902,1,1.806,0.902,4,5000,1010.27798,3000,6,9000,2507.060912,0.150336129,9.07555964,8.698657807,1500,0.876,1.806,4,5000,1517.179267,1500,1.806,1.806,4,5000,1510.141323,3000,1500,500,5,5,5,5000,5000,5000,16.24864448,16.25527502,16.24697572,258,624,1301,3,33,4808.995216,8.925288571,2.66312322,18.50802877,2.69663028,0.373690788,0.128933551,2.667539574,16.49111525,221.046319,81.26785768,0.138947351,3.231295731,3.053515875,5,4,116.6489213,121.9551601,2822.158105,5,-0.022447239,3.330458995,11.07528923,0,4,1,0.198220148,0.204173031,-36.29388746,9027.877801,10.16904415,8.104057601,15.39654321,6.376850642,7.353313689,7.3028033,131.0178517,7.326975626,9.221499386
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 18:53,2019/12/5 18:58,V1.2.2.0,,2.427810151,73,59.5,10,1.683896346,0.000719,4.817968376,57,56,9.995,1.909815099,0.003,3000,6,5000,2508.363417,0.150177895,5.082781286,4.706080547,1,1.806,0.902,4,5000,1010.340681,3000,6,9000,2507.212411,0.150079556,9.075873631,8.699592305,1500,0.902,1.806,4,5000,1521.054464,1500,1.806,1.806,4,5000,1510.276382,3000,1500,500,5,5,5,5000,5000,5000,16.24866673,16.23278013,16.2444837,258,624,1301,3,33,4809.309276,8.929130145,2.6693488,18.5011702,2.707888225,0.368605068,0.119290813,2.665972872,16.51441207,221.1341281,81.23417358,0.159629763,3.199396867,3.063068879,5,4,116.8326768,122.2921848,2822.322613,5,-0.021962876,3.332926283,11.07826354,0,4,1,0.198530494,0.204513758,-36.27402284,9028.51326,9.460353826,8.105990514,15.40129425,6.380624309,7.366506972,7.299483152,130.979106,7.31904753,9.220705595
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 18:59,2019/12/5 19:03,V1.2.2.0,,2.427787718,76,56.5,9.996,1.68192451,0.001336,4.818005764,56,55,9.998,1.908063135,0.002582,3000,6,5000,2507.99257,0.150498254,5.082654166,4.705205664,1,1.806,0.902,4,5000,1010.432908,3000,6,9000,2509.315999,0.150278486,9.075798871,8.698702663,1500,0.876,1.806,4,5000,1514.347914,1500,1.806,1.786,4,5000,1508.548035,3000,1500,500,5,5,5,5000,5000,5000,16.24797698,16.25781154,16.26713435,258,624,1301,3,33,4809.339187,7.967592,2.665143441,18.50070698,2.70208706,0.379649593,0.118003013,2.671167727,16.49171914,221.1049506,81.2526369,0.143443738,3.259226491,3.073553174,5,4,115.9862276,122.2975308,2822.352523,5,-0.021722773,3.332906652,11.07999384,0,4,1,0.19865923,0.204714563,-36.27252025,9028.602972,9.956537698,8.117052015,15.40240986,6.368413246,7.358862629,7.302405561,131.0164717,7.323616675,9.194532942
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:05,2019/12/5 19:10,V1.2.2.0,,2.427832584,73,57.5,9.996,1.681380414,0.001441,4.818095496,55,57,10.001,1.908516091,0.002936,3000,6,5000,2508.646894,0.149439585,5.08270651,4.707815358,1,1.806,0.902,4,5000,1010.443098,3000,6,9000,2508.143291,0.149442622,9.075783919,8.700960411,1500,0.902,1.806,4,5000,1520.25486,1500,1.806,1.806,4,5000,1510.365471,3000,1500,500,5,5,5,5000,5000,5000,16.26757935,16.26359658,16.26844711,258,624,1301,3,33,4809.294321,7.457501825,2.660959909,18.49796162,2.699331992,0.389857411,0.117059596,2.666387587,16.49446935,221.1484573,81.24255519,0.155637824,3.232877629,3.046077676,5,4,116.7961252,121.9307521,2822.360001,5,-0.022122598,3.332751851,11.07766565,0,4,1,0.198417408,0.204388323,-36.2662816,9028.573068,10.15839251,8.112296128,15.40563542,6.370833631,7.361416402,7.30311373,131.0210387,7.32069184,9.214670452
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:11,2019/12/5 19:16,V1.2.2.0,,2.427787718,70,58.5,9.997,1.681437312,0.001279,4.81808054,54,54,10.001,1.9085363,0.002866,3000,6,5000,2507.838488,0.149371471,5.082534524,4.707935,1,1.806,0.902,4,5000,1010.43273,3000,6,9000,2508.163146,0.149369903,9.075656828,8.701012742,1500,0.876,1.806,4,5000,1519.784337,1500,1.806,1.806,4,5000,1508.572755,3000,1500,500,5,5,5,5000,5000,5000,16.27283039,16.26393033,16.24706472,258,624,1301,3,33,4809.354142,7.415785341,2.66615719,18.50035047,2.694556703,0.377857343,0.120197852,2.673267982,16.49315002,221.0914944,81.23640237,0.143591678,3.133783625,3.074108553,5,4,117.0722352,121.2917779,2822.270269,5,-0.021950834,3.33315512,11.0782742,0,4,1,0.198605315,0.204443155,-36.26361407,9028.558116,10.16538932,8.105922608,15.4048836,6.377609741,7.351548117,7.303467814,131.0370269,7.317391094,9.169303004
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:16,2019/12/5 19:21,V1.2.2.0,,2.427817629,75,57.5,9.998,1.681662987,0.001097,4.818088018,56,56,9.995,1.909478301,0.002986,3000,6,5000,2508.594273,0.149323488,5.082519569,4.707927522,1,1.806,0.902,4,5000,1010.44766,3000,6,9000,2508.202858,0.14937946,9.075746539,8.70107255,1500,0.902,1.806,4,5000,1519.958488,1500,1.806,1.806,4,5000,1509.137819,3000,1500,500,5,5,5,5000,5000,5000,16.25098075,16.24383845,16.27489965,258,624,1301,3,33,4809.443874,7.803667877,2.667289775,18.50122356,2.699732156,0.3923166,0.135391955,2.675453119,16.49344105,221.1340262,81.23764894,0.144603001,3.22849373,3.078733478,5,4,117.0626773,122.1410331,2822.277747,5,-0.021642392,3.332247064,11.08036626,0,4,1,0.198753306,0.204703438,-36.2715432,9028.602972,10.16541599,8.111165968,15.40738402,6.38320961,7.361988758,7.304709535,130.9617765,7.324608596,9.215987469
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:21,2019/12/5 19:26,V1.2.2.0,,2.427795196,72,57.5,9.994,1.684345389,0.000923,4.818058107,56,57,9.995,1.90981255,0.003121,3000,6,5000,2507.702593,0.149296073,5.082624256,4.708234105,1,1.806,0.902,4,5000,1010.453111,3000,6,9000,2508.33626,0.149294024,9.075761491,8.701281878,1500,0.876,1.806,4,5000,1511.86967,1500,1.806,1.806,4,5000,1510.360176,3000,1500,500,5,5,5,5000,5000,5000,16.24788797,16.29330052,16.26270657,258,624,1301,3,33,4809.406486,7.513975869,2.669550095,18.5019293,2.693278604,0.370989075,0.121119441,2.674039207,16.49019609,221.1967009,81.26122223,0.143645033,3.230586349,3.061669518,5,4,115.9982404,122.3284259,2822.30018,5,-0.021570569,3.332141619,11.08058613,0,4,1,0.198708927,0.204652946,-36.26676788,9028.677732,10.16649522,8.109992154,15.41122317,6.376736656,7.356245799,7.304272993,131.0215432,7.323842222,9.126074783
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:27,2019/12/5 19:32,V1.2.2.0,,2.427802673,72,55.5,9.995,1.681880849,0.001314,4.817983331,54,57,9.998,1.908992476,0.002607,3000,6,5000,2507.518727,0.149307021,5.082527046,4.708136896,1,1.806,0.902,4,5000,1010.457472,3000,6,9000,2508.317406,0.149286205,9.075731587,8.701274402,1500,0.876,1.806,4,5000,1519.959445,1500,1.806,1.806,4,5000,1510.331117,3000,1500,500,5,5,5,5000,5000,5000,16.26624435,16.28762674,16.25692153,258,624,1301,3,33,4809.264411,8.926231988,2.667757846,18.50108047,2.70480575,0.380901015,0.119795262,2.669516142,16.49346288,221.1342057,81.22399486,0.141898863,3.236406347,3.052717972,5,4,116.5008191,122.3338495,2822.285225,5,-0.021854866,3.331436039,11.07809753,0,4,1,0.198548038,0.204474636,-36.26157696,9028.6254,10.16621875,8.110588762,15.4135708,6.380098033,7.379232185,7.305611723,131.0433063,7.365941892,9.156874048
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:41,2019/12/5 19:45,V1.2.2.0,,2.427757808,72,55.5,10.001,1.68127169,0.001078,4.817938465,54,52,9.994,1.908316787,0.003132,3000,6,5000,2508.013338,0.149256705,5.082384971,4.708047165,1,1.806,0.902,4,5000,1010.395839,3000,6,9000,2508.163347,0.14923278,9.075402644,8.701102454,1500,0.902,1.806,4,5000,1510.752067,1500,1.806,1.806,4,5000,1509.106669,3000,1500,500,5,5,5,5000,5000,5000,16.25556428,16.2815302,16.25133675,258,624,1301,3,33,4808.95035,7.564425627,2.663785309,18.49279829,2.694913213,0.376598646,0.112963373,2.665014904,16.49107887,221.0895614,81.23720997,0.136769489,3.258504604,3.072367234,5,4,116.7560142,122.3311684,2822.232881,5,-0.022192527,3.333159046,11.07608623,0,4,1,0.198267828,0.204152981,-36.26359107,9027.982465,10.02240711,8.10651194,15.3984446,6.373438335,7.362350118,7.301804103,131.0256348,7.319360386,9.22552632
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/12/5 19:46,2019/12/5 19:51,V1.2.2.0,,2.427817629,73,58.5,9.998,1.682672022,0.001059,4.81805063,55,56,9.995,1.911226116,0.002228,3000,6,5000,2508.691815,0.149159705,5.082564435,4.708368703,1,1.806,0.902,4,5000,1010.414997,3000,6,9000,2508.255747,0.149221322,9.075649352,8.701364114,1500,0.902,1.806,4,5000,1511.154884,1500,1.806,1.806,4,5000,1510.281432,3000,1500,500,5,5,5,5000,5000,5000,16.26962637,16.26150506,16.25480777,258,624,1301,3,33,4809.36162,8.932840756,2.669484614,18.51673294,2.69627862,0.375344799,0.136485736,2.673757879,16.49187435,221.1315499,81.24457784,0.144442935,3.242106978,3.059137572,5,4,116.539804,122.007068,2822.240359,5,-0.021719778,3.333729455,11.07952215,0,4,1,0.198649144,0.204601904,-36.26389338,9028.595496,10.18927304,8.105221714,15.40386258,6.373251592,7.360106775,7.301411214,131.0249217,7.324725007,9.220206243
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/5 20:04,2019/12/5 20:09,V1.2.2.0,,2.425009012,73,56.5,9.993,1.718715209,0.000427,4.812763146,54,54,9.992,1.943008167,0.000115,3000,6,5000,2507.999671,0.153877895,5.064120987,4.678195278,1,1.806,0.876,4,5000,1009.813467,3000,6,9000,2506.520024,0.152851749,9.033336757,8.650210788,1500,0.902,1.806,4,5000,1510.453754,1500,1.806,1.806,4,5000,1509.701303,3000,1500,500,5,5,5,5000,5000,5000,15.95509329,15.95975092,15.94185231,258,624,1301,3,33,4805.234561,8.959495915,2.66062951,18.51108438,2.694048235,0.390945937,0.116186675,2.660010645,16.49288251,219.3921829,81.1332714,0.145154889,3.230267199,3.064419765,5,4,116.1004912,122.0747253,2824.806699,5,-0.021322657,3.335323157,11.09124952,0,4,1,0.1991634,0.205111172,-36.4322582,8988.854469,10.1457978,8.078021441,15.4001284,6.363075649,7.334060766,7.268383689,131.6052844,7.295744303,9.20928428
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,FAIL,2019/12/5 20:14,2019/12/5 20:19,V1.2.2.0,CB Error Could not set PASS CB,2.42498665,72,58.5,9.998,1.713800217,0.000207,4.812710968,52,55,10.001,1.938371064,0.000249,3000,6,5000,2507.953118,0.156035569,5.064113533,4.672783641,1,1.806,0.876,4,5000,1009.793484,3000,6,9000,2507.970048,0.155393077,9.033247331,8.643526148,1500,0.876,1.806,4,5000,1518.045693,1500,1.806,1.806,4,5000,1509.032733,3000,1500,500,5,5,5,5000,5000,5000,15.94123129,15.95855324,15.98428111,258,624,1301,3,33,4805.08548,7.684647947,2.65938211,18.50092629,2.69806119,0.393090208,0.111624961,2.659710882,16.49685195,219.4599504,81.15567867,0.157464506,3.157190367,3.077580322,5,4,116.8285256,122.6116889,2824.620348,5,-0.021577087,3.333512779,11.09052862,0,4,1,0.199025744,0.20491595,-36.43147233,8988.772495,10.01293758,8.077574215,15.39876496,6.367584179,7.332690076,7.263340904,131.5540441,7.293612118,9.133518705
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/5 20:19,2019/12/5 20:24,V1.2.2.0,,2.42498665,73,59.5,9.996,1.735045614,0.000391,4.812837687,56,58,10,1.940563099,0.000619,3000,6,5000,2508.030779,0.154907295,5.064188074,4.675675811,1,1.806,0.876,4,5000,1009.791044,3000,6,9000,2507.39875,0.154703292,9.033426184,8.645523343,1500,0.902,1.806,4,5000,1510.06777,1500,1.806,1.806,4,5000,1509.68977,3000,1500,500,5,5,5,5000,5000,5000,15.95478278,15.95797658,15.95731121,258,624,1301,3,33,4805.264377,8.909043891,2.667756131,18.50400853,2.707240219,0.384924087,0.132173222,2.665275835,16.51800699,219.4929614,81.14501534,0.163549209,3.061367574,3.088052683,5,4,116.310755,122.5939661,2824.665072,5,-0.021091057,3.332836128,11.09274006,0,4,1,0.199332799,0.205287835,-36.44278099,8988.943896,9.908068923,8.080330099,15.40637024,6.364949167,7.328795577,7.270740695,131.5429348,7.291185006,9.190835322
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/5 20:29,2019/12/5 20:34,V1.2.2.0,,2.425016466,72,57.5,9.997,1.723005885,0.000311,4.812763146,52,54,9.996,1.937144358,0.000362,3000,6,5000,2508.104757,0.158412638,5.064202982,4.666887492,1,1.806,0.876,4,5000,1009.848599,3000,6,9000,2507.562149,0.15727579,9.033485802,8.639106983,1500,0.902,1.806,4,5000,1516.957116,1500,1.806,1.806,4,5000,1509.726898,3000,1500,500,5,5,5,5000,5000,5000,15.94713096,15.95755518,15.94409241,258,624,1301,3,33,4805.256923,7.543933454,2.667320991,18.51660098,2.696823459,0.394306182,0.11397955,2.666525653,16.49548126,219.5350121,81.15577537,0.147746387,3.239162915,3.072174921,5,4,116.2379689,122.0328606,2824.560716,5,-0.021006084,3.333352019,11.09287225,0,4,1,0.199374187,0.205319212,-36.44272722,8988.802304,9.351387518,8.083540463,15.40578763,6.368471381,7.329112262,7.270656085,131.5427994,7.288221222,9.18861798
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/5 20:35,2019/12/5 20:39,V1.2.2.0,,2.425105915,70,57.5,10.004,1.718334256,0.000927,4.812845141,54,55,10.003,1.940089345,0.000983,3000,6,5000,2506.826209,0.156688518,5.064188074,4.671397189,1,1.806,0.876,4,5000,1009.842766,3000,6,9000,2507.576528,0.15623473,9.033455993,8.641685451,1500,0.902,1.806,4,5000,1518.903385,1500,1.806,1.806,4,5000,1509.712437,3000,1500,500,5,5,5,5000,5000,5000,15.95005861,15.93799313,15.94666519,258,624,1301,3,33,4805.174929,8.941880012,2.682693508,18.51626012,2.70415798,0.379303534,0.132431889,2.665133206,16.49545951,219.5606806,81.16838475,0.145026764,3.233296745,3.076325669,5,4,116.2153037,122.4546793,2824.523445,5,-0.021063038,3.332911747,11.09257761,0,4,1,0.199274013,0.20530859,-36.43610748,8989.122749,9.691289603,8.075603999,15.4068223,6.372339289,7.330050229,7.272561029,131.5425528,7.291223685,9.191705035
