FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD [rpc] cyg_eload_SetEloadOn,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,MIX FW,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 11:44,2019/12/5 11:48,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424098061,76,48.5,9.997,1.804041235,0.000907,4.80644353,53,53,9.998,1.920963096,0.001601,3000,6,5000,,2513.639441,0.155829413,5.083925554,4.692226596,1,1.806,0.902,4,5000,1009.129356,3000,6,9000,2509.108368,0.154945852,9.064759812,8.675983877,1500,0.902,1.806,4,5000,1514.444877,1500,1.806,1.806,4,5000,1509.74357,16.34049259,3000,1500,500,5,5,5,5000,5000,5000,16.33980092,16.33625332,258,624,1301,3,33,,4798.454088,7.709828499,2.722437788,18.55344215,2.74945478,0.449665237,0.19457796,2.723558533,16.57762313,220.3863173,81.37758327,0.200422363,3.283656054,3.130094612,5,4,119.5471164,121.3817591,2821.60074,5,-0.027215894,3.3364338,11.08896655,0,4,1,0.200544455,0.20629037,-36.44919654,9014.363484,10.21834394,8.167087382,15.44791513,6.42371222,7.409323112,7.356494962,131.2898582,7.367213752,8.94615066
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 11:51,2019/12/5 11:56,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424053302,72,48.5,9.997,1.800958972,0.000244,4.806383851,52,54,9.998,1.921308285,0.001481,3000,6,5000,,2513.70846,0.15391397,5.083806197,4.696911348,1,1.806,0.902,4,5000,1010.746727,3000,6,9000,2509.117587,0.153586844,9.064610644,8.679243193,1500,0.902,1.806,4,5000,1511.284612,1500,1.806,1.806,4,5000,1510.903479,16.35151469,3000,1500,500,5,5,5,5000,5000,5000,16.34214367,16.33150087,258,624,1301,3,33,,4798.245214,8.735436111,2.714189012,18.54746404,2.73703664,0.446777072,0.172773281,2.736064194,16.5698387,220.3305893,81.38441714,0.195217344,3.251976182,3.133272081,5,4,116.302604,121.3623032,2821.302349,5,-0.025395122,3.335753773,11.08577721,0,4,1,0.200060962,0.205952975,-36.44603295,9014.035315,10.20527183,8.152590638,15.44425873,6.430978826,7.401635924,7.351686214,131.2893014,7.36324374,9.36806841
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 11:56,2019/12/5 12:00,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424098061,73,54.5,9.994,1.686436409,0.000083,4.806450989,54,52,10.002,1.922602468,0.000967,3000,6,5000,,2512.646289,0.153631673,5.083828577,4.697806523,1,1.806,0.902,4,5000,1010.821294,3000,6,9000,2508.264591,0.153594472,9.064826938,8.679571362,1500,0.902,1.806,4,5000,1512.155447,1500,1.806,1.806,4,5000,1511.018787,16.35278647,3000,1500,500,5,5,5,5000,5000,5000,16.35300959,16.33161243,258,624,1301,3,33,,4798.476468,8.654557744,2.737357547,18.55642757,2.767989609,0.46106474,0.190921562,2.738013949,16.5784643,220.4510313,81.39151843,0.201506641,3.475468675,3.137837717,5,4,116.082318,121.3435331,2821.212831,5,-0.02301081,3.335346766,11.09080257,0,4,1,0.200563512,0.206584827,-36.44548242,9014.542485,10.20693228,8.172105206,15.45604478,6.436018529,7.427967341,7.34609951,131.358156,7.366715373,9.229244393
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:01,2019/12/5 12:05,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CC_Rp_SYS_CURR-10kohm_5V,2.424075682,72,47.5,9.998,1.802244801,0.000445,4.806480829,52,52,9.994,1.923156119,0.001069,3000,6,5000,,2514.204377,0.153426684,5.083821117,4.698075076,1,1.806,0.902,4,5000,1010.784769,3000,6,9000,2509.23819,0.153294114,9.064692687,8.68004124,1500,0.902,1.806,4,5000,1518.350049,1500,1.806,1.806,4,5000,1511.052322,16.34613751,3000,1500,500,5,5,5,5000,5000,5000,30.16223517,16.3410727,258,624,1301,3,33,,4798.416789,8.988094704,2.737741664,18.55487894,2.758744075,0.446079341,0.196428039,2.724156587,16.5785737,220.6115363,81.39881907,0.20318168,3.477792822,3.139439822,5,4,116.4482491,122.4077014,2821.153153,5,-0.022257631,3.334364006,11.09110138,0,4,1,0.200542379,0.206484781,-36.44443798,9014.572319,9.640983061,8.165446379,15.45185111,6.431175746,7.402537868,7.360068702,131.2803834,7.372866097,9.379958998
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:06,2019/12/5 12:10,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424045843,74,47.5,10,1.802283008,0.000367,4.80643607,54,56,9.997,1.923332855,0.000937,3000,6,5000,,2514.217971,0.15331014,5.083671921,4.698216812,1,1.806,0.902,4,5000,1010.067485,3000,6,9000,2511.187419,0.153145424,9.064670311,8.680093449,1500,0.902,1.806,4,5000,1524.946467,1500,1.806,1.806,4,5000,1509.382607,16.35593246,3000,1500,500,5,5,5,5000,5000,5000,16.35791822,16.3522733,258,624,1301,3,33,,4798.424249,8.092894584,2.735344583,18.55698672,2.761318627,0.441445634,0.200162234,2.721776525,16.57445539,220.641118,81.43132066,0.201620903,3.072764035,3.139240471,5,4,117.0684776,121.7767209,2821.033796,5,-0.022110135,3.33463142,11.08924069,0,4,1,0.200441478,0.206463343,-36.44114433,9014.438068,9.820705742,8.165108454,15.45238352,6.42196911,7.407380651,7.347101129,131.3536799,7.364768049,9.375050575
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:16,2019/12/5 12:20,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424083142,74,49.5,9.992,1.803102688,0.00037,4.806406231,52,54,9.997,1.92257375,0.000949,3000,6,5000,,2512.860152,0.154960427,5.083574944,4.694181063,1,1.806,0.902,4,5000,1010.769843,3000,6,9000,2508.190372,0.154443523,9.064439101,8.677065343,1500,0.902,1.806,4,5000,1513.602824,1500,1.806,1.806,4,5000,1510.921998,16.33569552,3000,1500,500,5,5,5,5000,5000,5000,16.34542353,16.34337083,258,624,1301,3,33,,4798.275053,8.981693575,2.716476692,18.55332546,2.75036888,0.449606891,0.186847011,2.731588509,16.57115879,220.4479484,81.40823721,0.197650891,3.106225915,3.115031418,5,4,116.2557948,121.5605183,2820.817462,5,-0.021979678,3.331707809,11.08536796,0,4,1,0.200070001,0.205970626,-36.44168813,9013.736979,10.21378803,8.16570894,15.44498563,6.429804597,7.407033001,7.341443923,131.3077259,7.359093825,9.270087142
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:22,2019/12/5 12:26,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424090601,74,48.5,10.003,1.801527713,0.000246,4.806480829,53,55,10,1.923447712,0.000577,3000,6,5000,,2514.161409,0.154447025,5.083545105,4.695240354,1,1.806,0.902,4,5000,1009.426708,3000,6,9000,2510.311611,0.154012936,9.064431643,8.677811182,1500,0.902,1.806,4,5000,1514.526316,1500,1.806,1.806,4,5000,1510.95415,16.36075184,3000,1500,500,5,5,5,5000,5000,5000,16.36012711,16.35225099,258,624,1301,3,33,,4798.424249,8.651035057,2.715890793,18.55484491,2.755950722,0.441820026,0.178768413,2.736375376,16.57856154,220.576545,81.43575745,0.203135488,3.528408657,3.135277752,5,4,116.5374187,121.6317332,2820.727944,5,-0.021864613,3.325137393,11.08642136,0,4,1,0.200316146,0.20619857,-36.43562614,9014.191941,9.260374833,8.152505549,15.45951642,6.430093899,7.405039486,7.348399345,131.3260871,7.365480366,9.096554082
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:28,2019/12/5 12:32,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424105521,76,54.5,10,1.691568964,0.000148,4.806503208,53,55,10,1.921946704,0.001469,3000,6,5000,,2513.421047,0.153691164,5.083545105,4.697254498,1,1.806,0.902,4,5000,1009.410777,3000,6,9000,2509.13319,0.153475907,9.064357059,8.679265568,1500,0.902,1.806,4,5000,1516.713601,1500,1.806,1.806,4,5000,1509.334859,16.33330814,3000,1500,500,5,5,5,5000,5000,5000,16.34660606,16.35356739,258,624,1301,3,33,,4798.364571,8.977662785,2.731853501,18.55451914,2.746923989,0.447409162,0.191519616,2.71706016,16.57512394,220.5834207,81.44497867,0.200208425,3.515346271,3.114192683,5,4,116.3934774,121.3716765,2820.556369,5,-0.021897044,3.330422878,11.0862969,0,4,1,0.200129064,0.206139568,-36.43873142,9014.01294,10.03653779,8.163686251,15.45545402,6.415767333,7.401302861,7.355702418,131.3619634,7.362008733,9.380603244
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:35,2019/12/5 12:39,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424090601,72,48.5,10.006,1.80086428,0.0006,4.806458449,52,54,9.998,1.92095686,0.001177,3000,6,5000,,2512.455172,0.154777566,5.083552564,4.694680869,1,1.806,0.902,4,5000,1010.797487,3000,6,9000,2509.101091,0.154063459,9.064327226,8.677766432,1500,0.902,1.806,4,5000,1520.918222,1500,1.806,1.806,4,5000,1510.921284,16.35093458,3000,1500,500,5,5,5,5000,5000,5000,16.33524928,16.36061797,258,624,1301,3,33,,4798.342191,8.976770566,2.732349448,18.54844135,2.735371326,0.43838729,0.191947493,2.717342169,16.57880708,220.611123,81.43744707,0.196615235,3.1373442,3.118906616,5,4,116.1507581,122.0784922,2820.496691,5,-0.021772206,3.322741882,11.08626943,0,4,1,0.200183179,0.206228376,-36.43225904,9014.050232,10.17458142,8.162212995,15.44760638,6.409028279,7.411751797,7.343274553,131.3576138,7.359079238,9.375152682
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,FAIL,2019/12/5 12:40,2019/12/5 12:45,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.4241279,73,56.5,9.996,1.697219849,0.000014,4.806510668,52,56,9.998,1.921045479,0.000929,3000,6,5000,,2514.15806,0.154195026,5.083612243,4.695941574,1,1.806,0.902,4,5000,1010.256891,3000,6,9000,2510.351634,0.153903522,9.064580811,8.678228852,1500,0.902,1.806,4,5000,1526.214946,1500,1.806,1.806,4,5000,1510.969121,16.35834215,3000,1500,500,5,5,5,5000,5000,5000,16.35381282,16.3507784,258,624,1301,3,33,,4798.424249,8.955641736,2.717142818,18.55584653,2.751596594,0.430743862,0.193301624,2.73875787,16.57929331,220.7356058,81.46359616,0.202411016,3.303878077,3.135440636,5,4,116.7217304,122.4563606,2820.51161,5,-0.021186923,3.324271242,11.08976879,0,4,1,0.200585011,0.206498157,-36.43170907,9014.333651,9.996767163,8.15910846,15.44926197,6.407401863,7.40698681,7.341434198,131.339469,7.359237261,9.370898229
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:22,2019/12/5 13:26,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427540956,74,50.5,10,1.79556112,0.001252,4.818110451,54,59,9.995,1.915558802,0.002603,3000,6,5000,,2512.624328,0.154884258,5.0826093,4.693443346,1,1.806,0.902,4,5000,1010.20767,3000,6,9000,2506.964349,0.153816051,9.075709159,8.690097803,1500,0.902,1.806,4,5000,1510.930692,1500,1.806,1.806,4,5000,1509.736615,16.25556428,3000,1500,500,5,5,5,5000,5000,5000,16.25422927,16.28675898,258,624,1301,3,33,,4809.301799,8.947421274,2.664233978,18.50846774,2.712775075,0.377852493,0.128783187,2.665965596,16.50683078,221.1046377,81.26288837,0.141440493,3.428534959,3.080457821,5,4,116.528215,122.391571,2821.06637,5,-0.022922249,3.330192019,11.074937,0,4,1,0.198286716,0.204238804,-36.40547863,9027.930133,9.942694451,8.105813472,15.39532332,6.372958138,7.36705265,7.299454049,131.1381539,7.316333691,9.319234197
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:28,2019/12/5 13:32,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.42787745,76,49.5,10.002,1.796786867,0.000947,4.81817775,53,57,10.001,1.916668278,0.002457,3000,6,5000,,2512.840091,0.152493319,5.08270651,4.699515185,1,1.806,0.902,4,5000,1010.295491,3000,6,9000,2507.115893,0.15208023,9.076127815,8.694845054,1500,0.902,1.806,4,5000,1519.121193,1500,1.806,1.806,4,5000,1510.18302,16.27512215,3000,1500,500,5,5,5,5000,5000,5000,16.30578286,16.28181945,258,624,1301,3,33,,4809.563516,8.899064495,2.667525023,18.49693332,2.703808978,0.387194502,0.133847079,2.669838698,16.50604015,221.1018509,81.27436216,0.143012046,3.433467889,3.076623523,5,4,117.0770832,122.3137763,2821.328087,5,-0.02318283,3.322759308,11.0763347,0,4,1,0.198468511,0.204455808,-36.3970935,9028.408596,10.18076046,8.111216898,15.39137504,6.3633154,7.370695355,7.302068453,131.0972835,7.328590834,9.34742999
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:33,2019/12/5 13:37,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427899883,78,55.5,10.004,1.685061548,0.001327,4.81820766,54,54,10.003,1.915432138,0.002868,3000,6,5000,,2511.838359,0.151583646,5.082848585,4.702094968,1,1.806,0.902,4,5000,1010.34542,3000,6,9000,2508.0896,0.151341577,9.076187623,8.696609387,1500,0.876,1.806,4,5000,1510.858356,1500,1.806,1.806,4,5000,1510.252974,16.26288457,3000,1500,500,5,5,5,5000,5000,5000,16.2599253,16.26682285,258,624,1301,3,33,,4809.623337,8.919257009,2.670408629,18.51688573,2.70280008,0.391763646,0.138748481,2.671713406,16.50459956,221.0809585,81.28400975,0.141430792,3.411546182,3.076456182,5,4,117.0738875,122.3760137,2821.425297,5,-0.022564601,3.325615843,11.07946662,0,4,1,0.198763269,0.204761265,-36.39674015,9028.827251,9.297736906,8.116338996,15.39431685,6.379329233,7.358593427,7.300814606,131.0642714,7.320240746,9.332965883
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:38,2019/12/5 13:42,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427892405,73,53.5,9.998,1.68642326,0.000966,4.81817775,54,57,10.002,1.916974611,0.002132,3000,6,5000,,2513.02222,0.150824883,5.082885973,4.70385969,1,1.806,0.902,4,5000,1010.395305,3000,6,9000,2508.158494,0.150628021,9.076172671,8.698373719,1500,0.902,1.806,4,5000,1519.477396,1500,1.806,1.78,4,5000,1508.856333,16.25084724,3000,1500,500,5,5,5,5000,5000,5000,16.2737649,16.26304032,258,624,1301,3,33,,4809.630815,8.905064529,2.668938936,18.50108047,2.713883408,0.382409511,0.119965029,2.674296282,16.50175234,221.0542355,81.27467502,0.142951415,3.449059731,3.079553208,5,4,116.8749906,122.0442345,2821.44773,5,-0.022667293,3.326272627,11.07835945,0,4,1,0.198710272,0.204629167,-36.39307257,9028.707636,10.16030117,8.110460224,15.40145674,6.369417294,7.364355788,7.302378883,131.1000315,7.329832554,9.329136435
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:43,2019/12/5 13:47,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.42790736,74,58.5,9.996,1.68452382,0.001189,4.818260004,53,57,9.998,1.915832826,0.00272,3000,6,5000,,2512.23919,0.150633775,5.082923361,4.704495289,1,1.806,0.902,4,5000,1010.41295,3000,6,9000,2510.129904,0.150363783,9.076269858,8.698837231,1500,0.902,1.806,4,5000,1519.074713,1500,1.806,1.806,4,5000,1510.104343,16.25042449,3000,1500,500,5,5,5,5000,5000,5000,16.27518891,16.25999205,258,624,1301,3,33,,4809.683158,8.923627285,2.666390013,18.50144668,2.702535729,0.373620456,0.122528503,2.670806367,16.49952354,221.1922188,81.28418437,0.161358956,3.471495589,3.067851445,5,4,116.8795504,122.2240125,2821.537461,5,-0.022358301,3.326592325,11.07999665,0,4,1,0.19876003,0.204816035,-36.39393688,9028.77492,9.682406004,8.105289621,15.40299919,6.36434855,7.35307359,7.304925381,131.0993693,7.318984474,9.352023387
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:48,2019/12/5 13:52,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427914838,74,57.5,9.998,1.686658604,0.000534,4.818230093,57,54,10,1.915348457,0.002894,3000,6,5000,,2513.083034,0.149919662,5.082900928,4.706140368,1,1.806,0.902,4,5000,1010.420136,3000,6,9000,2507.28874,0.149902049,9.076269858,8.70042214,1500,0.902,1.806,4,5000,1511.696653,1500,1.806,1.78,4,5000,1508.700648,16.25480777,3000,1500,500,5,5,5,5000,5000,5000,16.27825943,16.2600143,258,624,1301,3,33,,4809.653248,8.925858502,2.669523417,18.50005945,2.700888994,0.381235697,0.11997473,2.676069129,16.49609911,221.1440189,81.27167257,0.144418683,3.469846428,3.07211986,5,4,117.0505201,122.3463598,2821.60476,5,-0.022255914,3.327100478,11.07930004,0,4,1,0.198719624,0.204749528,-36.39326775,9028.730064,9.512690418,8.10502527,15.39487465,6.364899079,7.363781007,7.299650493,131.1129103,7.325910948,9.332592397
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:53,2019/12/5 13:57,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427899883,75,55.5,10.001,1.686179042,0.000371,4.818215138,54,57,9.996,1.91638603,0.003017,3000,6,5000,,2512.231666,0.149419818,5.082885973,4.707508775,1,1.806,0.902,4,5000,1009.987415,3000,6,9000,2507.379426,0.149395719,9.076232478,8.701640725,1500,0.902,1.806,4,5000,1513.609231,1500,1.806,1.806,4,5000,1510.351765,16.24848873,3000,1500,500,5,5,5,5000,5000,5000,16.25380651,16.28771574,258,624,1301,3,33,,4809.67568,8.743075744,2.667937313,18.50549197,2.716347448,0.379474976,0.123852682,2.671616396,16.49451301,221.0422759,81.27375585,0.164295917,3.430300531,3.08677071,5,4,116.3172617,122.3149923,2821.642148,5,-0.022135924,3.327104965,11.08070728,0,4,1,0.198736495,0.204745188,-36.39287121,9028.767444,9.425954279,8.1148402,15.39977363,6.369169919,7.371381697,7.305820293,131.066755,7.331549621,9.340062123
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 13:57,2019/12/5 14:02,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427922315,75,54.5,10.001,1.685057804,0.001513,4.81820766,57,59,9.998,1.915824281,0.002543,3000,6,5000,,2512.416823,0.149167728,5.082968227,4.708196717,1,1.806,0.902,4,5000,1010.529296,3000,6,9000,2508.272753,0.149104069,9.076187623,8.702193948,1500,0.902,1.806,4,5000,1510.774763,1500,1.806,1.806,4,5000,1510.41273,16.27136188,3000,1500,500,5,5,5,5000,5000,5000,16.27612341,16.24305969,258,624,1301,3,33,,4809.668203,8.945476235,2.668788571,18.50312252,2.702455696,0.391167038,0.118226135,2.672018985,16.49664964,221.0444733,81.26970813,0.16201377,3.467506076,3.07253215,5,4,117.0555736,121.9746915,2821.784223,5,-0.022141853,3.328285045,11.08064726,0,4,1,0.198792305,0.204721348,-36.39170963,9028.73754,9.519371943,8.109604116,15.39416406,6.369138391,7.364307283,7.301534901,131.0720812,7.330615906,9.356849606
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 14:02,2019/12/5 14:07,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427922315,75,55.5,10.002,1.686581907,0.001204,4.818185227,54,55,10.002,1.915727129,0.002716,3000,6,5000,,2513.268457,0.148822631,5.082841107,4.708809883,1,1.806,0.902,4,5000,1010.452132,3000,6,9000,2509.372762,0.148824204,9.076165195,8.702709791,1500,0.902,1.806,4,5000,1521.264172,1500,1.806,1.806,4,5000,1510.35982,16.28560197,3000,1500,500,5,5,5,5000,5000,5000,16.28099619,16.27182913,258,624,1301,3,33,,4809.690636,8.925371029,2.667010873,18.49910148,2.687065149,0.399842107,0.117925406,2.671175003,16.52317687,221.0190502,81.27834197,0.14809049,3.416032868,3.081544327,5,4,117.0235177,122.3224377,2821.978642,5,-0.022054626,3.328238492,11.08075719,0,4,1,0.198766265,0.204764749,-36.39132599,9028.804823,9.803233684,8.110254079,15.39570408,6.37827183,7.364413994,7.304023193,131.0765197,7.329277175,9.337387088
